Name,Quantity,Component
"U1",1," Arduino Uno R3"
"GAS1",1," Gas Sensor"
"D1",1,"Red LED"
"D2",1,"Blue LED"
"D3",1,"Yellow LED"
"D4",1,"Green LED"
"R1, R2, R3, R4",4,"1 kΩ Resistor"
"R5",1,"4.7 kΩ Resistor"
